architecture,family,sid,budget,clean_effective_observability,adaptive_capacity,attack_channels,abstention,confidence
base,prompt_manipulation,adapt-base-prompt_manipulation-7,3,0.9999999999117194,0.0,action|permission|policy,1,0.9285910342930997
base,prompt_manipulation,adapt-base-prompt_manipulation-8,0,0.9999999999117194,0.9999999999117194,,0,0.9999999999939999
base,prompt_manipulation,adapt-base-prompt_manipulation-8,1,0.9999999999117194,0.0,action,1,0.9985409365500111
base,prompt_manipulation,adapt-base-prompt_manipulation-8,2,0.9999999999117194,0.0,action|permission,1,0.970703293355402
base,prompt_manipulation,adapt-base-prompt_manipulation-8,3,0.9999999999117194,0.0,action|permission|policy,1,0.9285910342930997
base,prompt_manipulation,adapt-base-prompt_manipulation-9,0,0.9999999999117194,0.9999999999117194,,0,0.9999999999939999
base,prompt_manipulation,adapt-base-prompt_manipulation-9,1,0.9999999999117194,0.0,action,1,0.9985409365500111
base,prompt_manipulation,adapt-base-prompt_manipulation-9,2,0.9999999999117194,0.0,action|permission,1,0.970703293355402
base,prompt_manipulation,adapt-base-prompt_manipulation-9,3,0.9999999999117194,0.0,action|permission|policy,1,0.9285910342930997
base,prompt_manipulation,adapt-base-prompt_manipulation-10,0,0.9999999999117194,0.9999999999117194,,0,0.9999999999939999
base,prompt_manipulation,adapt-base-prompt_manipulation-10,1,0.9999999999117194,0.0,action,1,0.9985409365500111
base,prompt_manipulation,adapt-base-prompt_manipulation-10,2,0.9999999999117194,0.0,action|permission,1,0.970703293355402
base,prompt_manipulation,adapt-base-prompt_manipulation-10,3,0.9999999999117194,0.0,action|permission|policy,1,0.9285910342930997
base,prompt_manipulation,adapt-base-prompt_manipulation-11,0,0.9999999999117194,0.9999999999117194,,0,0.9999999999939999
base,prompt_manipulation,adapt-base-prompt_manipulation-11,1,0.9999999999117194,0.0,action,1,0.9985409365500111
base,prompt_manipulation,adapt-base-prompt_manipulation-11,2,0.9999999999117194,0.0,action|permission,1,0.970703293355402
base,prompt_manipulation,adapt-base-prompt_manipulation-11,3,0.9999999999117194,0.0,action|permission|policy,1,0.9285910342930997
base,model_defect,adapt-base-model_defect-0,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-0,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-0,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-0,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,model_defect,adapt-base-model_defect-1,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-1,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-1,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-1,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,model_defect,adapt-base-model_defect-2,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-2,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-2,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-2,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,model_defect,adapt-base-model_defect-3,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-3,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-3,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-3,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,model_defect,adapt-base-model_defect-4,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-4,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-4,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-4,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,model_defect,adapt-base-model_defect-5,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-5,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-5,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-5,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,model_defect,adapt-base-model_defect-6,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-6,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-6,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-6,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,model_defect,adapt-base-model_defect-7,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-7,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-7,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-7,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,model_defect,adapt-base-model_defect-8,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-8,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-8,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-8,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,model_defect,adapt-base-model_defect-9,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-9,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-9,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-9,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,model_defect,adapt-base-model_defect-10,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-10,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-10,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-10,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,model_defect,adapt-base-model_defect-11,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,model_defect,adapt-base-model_defect-11,1,0.9999999999117192,0.0,action,1,0.9999999999939995
base,model_defect,adapt-base-model_defect-11,2,0.9999999999117192,0.0,action|warning,1,0.9985409365500111
base,model_defect,adapt-base-model_defect-11,3,0.9999999999117192,0.0,action|permission|warning,1,0.970703293355402
base,policy_defect,adapt-base-policy_defect-0,0,0.9999999999117192,0.9999999999117192,,0,0.9999999999939995
base,policy_defect,adapt-base-policy_defect-0,1,0.9999999999117192,0.0,policy,1,0.9999999999938958
base,policy_defect,adapt-base-policy_defect-0,2,0.9999999999117192,0.0,action|policy,1,0.9954406430854041
